date;visitors;capacity
2022-01-30 00:00;-25;95
2022-01-30 00:10;-25;95
2022-01-30 00:20;-25;95
2022-01-30 00:30;-25;95
2022-01-30 00:40;-25;95
2022-01-30 00:50;-25;95
2022-01-30 01:00;-25;95
2022-01-30 01:10;-25;95
2022-01-30 01:20;-25;95
2022-01-30 01:30;-25;95
2022-01-30 01:40;-25;95
2022-01-30 01:50;-25;95
2022-01-30 02:00;-25;95
2022-01-30 02:10;-25;95
2022-01-30 02:20;-25;95
2022-01-30 02:30;-25;95
2022-01-30 02:40;-25;95
2022-01-30 02:50;-25;95
2022-01-30 03:00;-25;95
2022-01-30 03:10;-25;95
2022-01-30 03:20;-25;95
2022-01-30 03:30;-25;95
2022-01-30 03:40;-25;95
2022-01-30 03:50;-25;95
2022-01-30 04:00;-25;95
2022-01-30 04:10;-25;95
2022-01-30 04:20;-25;95
2022-01-30 04:30;-25;95
2022-01-30 04:40;-25;95
2022-01-30 04:50;-25;95
2022-01-30 05:00;-25;95
2022-01-30 05:10;-25;95
2022-01-30 05:20;-25;95
2022-01-30 05:30;-25;95
2022-01-30 05:40;-25;95
2022-01-30 05:50;-25;95
2022-01-30 06:00;-25;95
2022-01-30 06:10;-25;95
2022-01-30 06:20;-25;95
2022-01-30 06:30;-25;95
2022-01-30 06:40;-25;95
2022-01-30 06:50;-25;95
2022-01-30 07:00;-25;95
2022-01-30 07:10;-25;95
2022-01-30 07:20;-25;95
2022-01-30 07:30;-25;95
2022-01-30 07:40;-25;95
2022-01-30 07:50;-25;95
2022-01-30 08:00;-25;95
2022-01-30 08:10;-25;95
2022-01-30 08:20;-25;95
2022-01-30 08:30;-25;95
2022-01-30 08:40;-25;95
2022-01-30 08:50;-25;95
2022-01-30 09:00;-21;95
2022-01-30 09:10;4;95
2022-01-30 09:20;22;95
2022-01-30 09:30;30;95
2022-01-30 09:40;36;95
2022-01-30 09:50;42;95
2022-01-30 10:00;52;95
2022-01-30 10:10;56;95
2022-01-30 10:20;66;95
2022-01-30 10:30;74;95
2022-01-30 10:40;71;95
2022-01-30 10:50;78;95
2022-01-30 11:00;77;95
2022-01-30 11:10;80;95
2022-01-30 11:20;82;95
2022-01-30 11:30;76;95
2022-01-30 11:40;72;95
2022-01-30 11:50;76;95
2022-01-30 12:00;68;95
2022-01-30 12:10;61;95
2022-01-30 12:20;64;95
2022-01-30 12:30;56;95
2022-01-30 12:40;49;95
2022-01-30 12:50;44;95
2022-01-30 13:00;46;95
2022-01-30 13:10;39;95
2022-01-30 13:20;34;95
2022-01-30 13:30;35;95
2022-01-30 13:40;37;95
2022-01-30 13:50;39;95
2022-01-30 14:00;39;95
2022-01-30 14:10;37;95
2022-01-30 14:20;31;95
2022-01-30 14:30;34;95
2022-01-30 14:40;38;95
2022-01-30 14:50;38;95
2022-01-30 15:00;34;95
2022-01-30 15:10;26;95
2022-01-30 15:20;24;95
2022-01-30 15:30;26;95
2022-01-30 15:40;22;95
2022-01-30 15:50;28;95
2022-01-30 16:00;27;95
2022-01-30 16:10;29;95
2022-01-30 16:20;30;95
2022-01-30 17:00;29;95
2022-01-30 17:10;31;95
2022-01-30 17:20;27;95
2022-01-30 17:30;26;95
2022-01-30 17:40;19;95
2022-01-30 17:50;13;95
2022-01-30 18:00;23;95
2022-01-30 18:10;18;95
2022-01-30 18:20;15;95
2022-01-30 18:30;16;95
2022-01-30 18:40;13;95
2022-01-30 18:50;12;95
2022-01-30 19:00;6;95
2022-01-30 19:10;4;95
2022-01-30 19:20;2;95
2022-01-30 19:30;-3;95
2022-01-30 19:40;-8;95
2022-01-30 19:50;-12;95
2022-01-30 20:00;-24;95
2022-01-30 20:10;-24;95
2022-01-30 20:20;-24;95
2022-01-30 20:30;-24;95
2022-01-30 20:40;-24;95
2022-01-30 20:50;-24;95
2022-01-30 21:00;-24;95
2022-01-30 21:10;-24;95
2022-01-30 21:20;-24;95
2022-01-30 21:30;-24;95
2022-01-30 21:40;-24;95
2022-01-30 21:50;-24;95
2022-01-30 22:00;-24;95
2022-01-30 22:10;-24;95
2022-01-30 22:20;-24;95
2022-01-30 22:30;-24;95
2022-01-30 22:40;-24;95
2022-01-30 22:50;-24;95
2022-01-30 23:00;-24;95
2022-01-30 23:10;-24;95
2022-01-30 23:20;-24;95
2022-01-30 23:30;-24;95
2022-01-30 23:40;-24;95
2022-01-30 23:50;-24;95
