date;visitors;capacity
2021-08-07 00:00;3;142
2021-08-07 00:10;0;142
2021-08-07 00:20;2;142
2021-08-07 00:30;0;142
2021-08-07 00:40;2;142
2021-08-07 00:50;3;142
2021-08-07 01:00;1;142
2021-08-07 01:10;0;142
2021-08-07 01:20;1;142
2021-08-07 01:30;0;142
2021-08-07 01:40;4;142
2021-08-07 01:50;2;142
2021-08-07 02:00;2;142
2021-08-07 02:10;3;142
2021-08-07 02:20;2;142
2021-08-07 02:30;4;142
2021-08-07 02:40;3;142
2021-08-07 02:50;4;142
2021-08-07 03:00;0;142
2021-08-07 03:10;2;142
2021-08-07 03:20;1;142
2021-08-07 03:30;1;142
2021-08-07 03:40;3;142
2021-08-07 03:50;3;142
2021-08-07 04:00;2;142
2021-08-07 04:10;2;142
2021-08-07 04:20;2;142
2021-08-07 04:30;3;142
2021-08-07 04:40;0;142
2021-08-07 04:50;2;142
2021-08-07 05:00;4;142
2021-08-07 05:10;2;142
2021-08-07 05:20;3;142
2021-08-07 05:30;0;142
2021-08-07 05:40;3;142
2021-08-07 05:50;3;142
2021-08-07 06:00;2;142
2021-08-07 06:10;2;142
2021-08-07 06:20;3;142
2021-08-07 06:30;1;142
2021-08-07 06:40;0;142
2021-08-07 06:50;0;142
2021-08-07 07:00;1;142
2021-08-07 07:10;1;142
2021-08-07 07:20;3;142
2021-08-07 07:30;3;142
2021-08-07 07:40;0;142
2021-08-07 07:50;4;142
2021-08-07 08:00;4;142
2021-08-07 08:10;0;142
2021-08-07 08:20;1;142
2021-08-07 08:30;2;142
2021-08-07 08:40;3;142
2021-08-07 08:50;3;142
2021-08-07 09:00;30;142
2021-08-07 09:10;32;142
2021-08-07 09:20;35;142
2021-08-07 09:30;37;142
2021-08-07 09:40;40;142
2021-08-07 09:50;51;142
2021-08-07 10:00;50;142
2021-08-07 10:10;49;142
2021-08-07 10:20;51;142
2021-08-07 10:30;53;142
2021-08-07 10:40;47;142
2021-08-07 10:50;50;142
2021-08-07 11:00;50;142
2021-08-07 11:10;41;142
2021-08-07 11:20;44;142
2021-08-07 11:30;41;142
2021-08-07 11:40;44;142
2021-08-07 11:50;41;142
2021-08-07 12:00;45;142
2021-08-07 12:10;42;142
2021-08-07 12:20;38;142
2021-08-07 12:30;37;142
2021-08-07 12:40;39;142
2021-08-07 12:50;36;142
2021-08-07 13:00;38;142
2021-08-07 13:10;33;142
2021-08-07 13:20;27;142
2021-08-07 13:30;25;142
2021-08-07 13:40;27;142
2021-08-07 13:50;27;142
2021-08-07 14:00;28;142
2021-08-07 14:10;28;142
2021-08-07 14:20;31;142
2021-08-07 14:30;35;142
2021-08-07 14:40;36;142
2021-08-07 14:50;37;142
2021-08-07 15:00;39;142
2021-08-07 15:10;38;142
2021-08-07 15:20;36;142
2021-08-07 15:30;37;142
2021-08-07 15:40;39;142
2021-08-07 15:50;46;142
2021-08-07 16:00;44;142
2021-08-07 16:10;49;142
2021-08-07 16:20;48;142
2021-08-07 16:30;48;142
2021-08-07 16:40;51;142
2021-08-07 16:50;50;142
2021-08-07 17:00;53;142
2021-08-07 17:10;51;142
2021-08-07 17:20;49;142
2021-08-07 17:30;49;142
2021-08-07 17:40;50;142
2021-08-07 17:50;51;142
2021-08-07 18:00;43;142
2021-08-07 18:10;38;142
2021-08-07 18:20;37;142
2021-08-07 18:30;39;142
2021-08-07 18:40;41;142
2021-08-07 18:50;39;142
2021-08-07 19:00;39;142
2021-08-07 19:10;36;142
2021-08-07 19:20;40;142
2021-08-07 19:30;37;142
2021-08-07 19:40;36;142
2021-08-07 19:50;36;142
2021-08-07 20:00;31;142
2021-08-07 20:10;35;142
2021-08-07 20:20;30;142
2021-08-07 20:30;27;142
2021-08-07 20:40;29;142
2021-08-07 20:50;25;142
2021-08-07 21:00;24;142
2021-08-07 21:10;21;142
2021-08-07 21:20;21;142
2021-08-07 21:30;20;142
2021-08-07 21:40;19;142
2021-08-07 21:50;14;142
2021-08-07 22:00;2;142
2021-08-07 22:10;3;142
2021-08-07 22:20;1;142
2021-08-07 22:30;3;142
2021-08-07 22:40;2;142
2021-08-07 22:50;0;142
2021-08-07 23:00;0;142
2021-08-07 23:10;0;142
2021-08-07 23:20;0;142
2021-08-07 23:30;3;142
2021-08-07 23:40;3;142
2021-08-07 23:50;0;142
