date;visitors;capacity
2021-11-16 00:00;-20;150
2021-11-16 00:10;-20;150
2021-11-16 00:20;-20;150
2021-11-16 00:30;-20;150
2021-11-16 00:40;-20;150
2021-11-16 00:50;-20;150
2021-11-16 01:00;-20;150
2021-11-16 01:10;-20;150
2021-11-16 01:20;-20;150
2021-11-16 01:30;-20;150
2021-11-16 01:40;-20;150
2021-11-16 01:50;-20;150
2021-11-16 02:00;-20;150
2021-11-16 02:10;-20;150
2021-11-16 02:20;-20;150
2021-11-16 02:30;-20;150
2021-11-16 02:40;-20;150
2021-11-16 02:50;-20;150
2021-11-16 03:00;-20;150
2021-11-16 03:10;-20;150
2021-11-16 03:20;-20;150
2021-11-16 03:30;-20;150
2021-11-16 03:40;-20;150
2021-11-16 03:50;-20;150
2021-11-16 04:00;-20;150
2021-11-16 04:10;-20;150
2021-11-16 04:20;-20;150
2021-11-16 04:30;-20;150
2021-11-16 04:40;-20;150
2021-11-16 04:50;-20;150
2021-11-16 05:00;-20;150
2021-11-16 05:10;-20;150
2021-11-16 05:20;-20;150
2021-11-16 05:30;-20;150
2021-11-16 05:40;-20;150
2021-11-16 05:50;-20;150
2021-11-16 06:00;-20;150
2021-11-16 06:10;-20;150
2021-11-16 06:20;-20;150
2021-11-16 06:30;-20;150
2021-11-16 06:40;-20;150
2021-11-16 06:50;-20;150
2021-11-16 07:00;-16;150
2021-11-16 07:10;-7;150
2021-11-16 07:20;-3;150
2021-11-16 07:30;-2;150
2021-11-16 07:40;-3;150
2021-11-16 07:50;-1;150
2021-11-16 08:00;0;150
2021-11-16 08:10;2;150
2021-11-16 08:20;3;150
2021-11-16 08:30;1;150
2021-11-16 08:40;0;150
2021-11-16 08:50;-3;150
2021-11-16 09:00;0;150
2021-11-16 09:10;4;150
2021-11-16 09:20;4;150
2021-11-16 09:30;7;150
2021-11-16 09:40;4;150
2021-11-16 09:50;8;150
2021-11-16 10:00;7;150
2021-11-16 10:10;8;150
2021-11-16 10:20;8;150
2021-11-16 10:30;8;150
2021-11-16 10:40;8;150
2021-11-16 10:50;6;150
2021-11-16 11:00;9;150
2021-11-16 11:10;10;150
2021-11-16 11:20;8;150
2021-11-16 11:30;9;150
2021-11-16 11:40;11;150
2021-11-16 11:50;13;150
2021-11-16 12:00;19;150
2021-11-16 12:10;20;150
2021-11-16 12:20;21;150
2021-11-16 12:30;19;150
2021-11-16 12:40;13;150
2021-11-16 12:50;11;150
2021-11-16 13:00;11;150
2021-11-16 13:10;10;150
2021-11-16 13:20;10;150
2021-11-16 13:30;12;150
2021-11-16 13:40;9;150
2021-11-16 13:50;7;150
2021-11-16 14:00;7;150
2021-11-16 14:10;7;150
2021-11-16 14:20;8;150
2021-11-16 14:30;5;150
2021-11-16 14:40;5;150
2021-11-16 14:50;7;150
2021-11-16 15:00;10;150
2021-11-16 15:10;7;150
2021-11-16 15:20;4;150
2021-11-16 15:30;4;150
2021-11-16 15:40;4;150
2021-11-16 15:50;4;150
2021-11-16 16:00;3;150
2021-11-16 16:10;4;150
2021-11-16 16:20;7;150
2021-11-16 16:30;15;150
2021-11-16 16:40;18;150
2021-11-16 16:50;21;150
2021-11-16 17:00;26;150
2021-11-16 17:10;42;150
2021-11-16 17:20;51;150
2021-11-16 17:30;60;150
2021-11-16 17:40;65;150
2021-11-16 17:50;74;150
2021-11-16 18:00;83;150
2021-11-16 18:10;91;150
2021-11-16 18:20;100;150
2021-11-16 18:30;107;150
2021-11-16 18:40;104;150
2021-11-16 18:50;109;150
2021-11-16 19:00;121;150
2021-11-16 19:10;115;150
2021-11-16 19:20;115;150
2021-11-16 19:30;104;150
2021-11-16 19:40;99;150
2021-11-16 19:50;99;150
2021-11-16 20:00;103;150
2021-11-16 20:10;88;150
2021-11-16 20:20;70;150
2021-11-16 20:30;63;150
2021-11-16 20:40;60;150
2021-11-16 20:50;55;150
2021-11-16 21:00;52;150
2021-11-16 21:10;45;150
2021-11-16 21:20;37;150
2021-11-16 21:30;28;150
2021-11-16 21:40;25;150
2021-11-16 21:50;22;150
2021-11-16 22:00;16;150
2021-11-16 22:10;5;150
2021-11-16 22:20;0;150
2021-11-16 22:30;-4;150
2021-11-16 22:40;-20;150
2021-11-16 22:50;-20;150
2021-11-16 23:00;-20;150
2021-11-16 23:10;-20;150
2021-11-16 23:20;-20;150
2021-11-16 23:30;-20;150
2021-11-16 23:40;-20;150
2021-11-16 23:50;-20;150
