date;visitors;capacity
2022-03-02 00:00;0;70
2022-03-02 00:10;0;70
2022-03-02 00:20;0;70
2022-03-02 00:30;0;70
2022-03-02 00:40;0;70
2022-03-02 00:50;0;70
2022-03-02 01:00;0;70
2022-03-02 01:10;0;70
2022-03-02 01:20;0;70
2022-03-02 01:30;0;70
2022-03-02 01:40;0;70
2022-03-02 01:50;0;70
2022-03-02 02:00;0;70
2022-03-02 02:10;0;70
2022-03-02 02:20;0;70
2022-03-02 02:30;0;70
2022-03-02 02:40;0;70
2022-03-02 02:50;0;70
2022-03-02 03:00;0;70
2022-03-02 03:10;0;70
2022-03-02 03:20;0;70
2022-03-02 03:30;0;70
2022-03-02 03:40;0;70
2022-03-02 03:50;0;70
2022-03-02 04:00;0;70
2022-03-02 04:10;0;70
2022-03-02 04:20;0;70
2022-03-02 04:30;0;70
2022-03-02 04:40;0;70
2022-03-02 04:50;0;70
2022-03-02 05:00;0;70
2022-03-02 05:10;0;70
2022-03-02 05:20;0;70
2022-03-02 05:30;0;70
2022-03-02 05:40;0;70
2022-03-02 05:50;0;70
2022-03-02 06:00;0;70
2022-03-02 06:10;0;70
2022-03-02 06:20;0;70
2022-03-02 06:30;0;70
2022-03-02 06:40;0;70
2022-03-02 06:50;0;70
2022-03-02 07:00;0;70
2022-03-02 07:10;0;70
2022-03-02 07:20;0;70
2022-03-02 07:30;0;70
2022-03-02 07:40;0;70
2022-03-02 07:50;0;70
2022-03-02 08:00;4;70
2022-03-02 08:10;5;70
2022-03-02 08:20;7;70
2022-03-02 08:30;10;70
2022-03-02 08:40;14;70
2022-03-02 08:50;16;70
2022-03-02 09:00;21;70
2022-03-02 09:10;22;70
2022-03-02 09:20;24;70
2022-03-02 09:30;24;70
2022-03-02 09:40;23;70
2022-03-02 09:50;24;70
2022-03-02 10:00;23;70
2022-03-02 10:10;25;70
2022-03-02 10:20;22;70
2022-03-02 10:30;21;70
2022-03-02 10:40;25;70
2022-03-02 10:50;32;70
2022-03-02 11:00;35;70
2022-03-02 11:10;36;70
2022-03-02 11:20;32;70
2022-03-02 11:30;35;70
2022-03-02 11:40;31;70
2022-03-02 11:50;32;70
2022-03-02 12:00;32;70
2022-03-02 12:10;31;70
2022-03-02 12:20;28;70
2022-03-02 12:30;24;70
2022-03-02 12:40;28;70
2022-03-02 12:50;27;70
2022-03-02 13:00;26;70
2022-03-02 13:10;21;70
2022-03-02 13:20;19;70
2022-03-02 13:30;16;70
2022-03-02 13:40;17;70
2022-03-02 13:50;18;70
2022-03-02 14:00;17;70
2022-03-02 14:10;18;70
2022-03-02 14:20;17;70
2022-03-02 14:30;18;70
2022-03-02 14:40;19;70
2022-03-02 14:50;16;70
2022-03-02 15:00;18;70
2022-03-02 15:10;22;70
2022-03-02 15:20;22;70
2022-03-02 15:30;21;70
2022-03-02 15:40;20;70
2022-03-02 15:50;19;70
2022-03-02 16:00;21;70
2022-03-02 16:10;21;70
2022-03-02 16:20;21;70
2022-03-02 16:30;23;70
2022-03-02 16:40;24;70
2022-03-02 16:50;33;70
2022-03-02 17:00;37;70
2022-03-02 17:10;38;70
2022-03-02 17:20;38;70
2022-03-02 17:30;39;70
2022-03-02 17:40;40;70
2022-03-02 17:50;41;70
2022-03-02 18:00;40;70
2022-03-02 18:10;41;70
2022-03-02 18:20;49;70
2022-03-02 18:30;58;70
2022-03-02 18:40;60;70
2022-03-02 18:50;57;70
2022-03-02 19:00;50;70
2022-03-02 19:10;51;70
2022-03-02 19:20;54;70
2022-03-02 19:30;54;70
2022-03-02 19:40;51;70
2022-03-02 19:50;46;70
2022-03-02 20:00;40;70
2022-03-02 20:10;41;70
2022-03-02 20:20;37;70
2022-03-02 20:30;32;70
2022-03-02 20:40;29;70
2022-03-02 20:50;25;70
2022-03-02 21:00;20;70
2022-03-02 21:10;17;70
2022-03-02 21:20;17;70
2022-03-02 21:30;13;70
2022-03-02 21:40;13;70
2022-03-02 21:50;12;70
2022-03-02 22:00;8;70
2022-03-02 22:10;7;70
2022-03-02 22:20;5;70
2022-03-02 22:30;4;70
2022-03-02 22:40;4;70
2022-03-02 22:50;4;70
2022-03-02 23:00;4;70
2022-03-02 23:10;4;70
2022-03-02 23:20;4;70
2022-03-02 23:30;4;70
2022-03-02 23:40;4;70
2022-03-02 23:50;4;70
