date;visitors;capacity
2020-07-02 00:00;0;101
2020-07-02 00:10;0;101
2020-07-02 00:20;0;101
2020-07-02 00:30;0;101
2020-07-02 00:40;0;101
2020-07-02 00:50;0;101
2020-07-02 01:00;0;101
2020-07-02 01:10;0;101
2020-07-02 01:20;0;101
2020-07-02 01:30;0;101
2020-07-02 01:40;0;101
2020-07-02 01:50;0;101
2020-07-02 02:00;0;101
2020-07-02 02:10;0;101
2020-07-02 02:20;0;101
2020-07-02 02:30;0;101
2020-07-02 02:40;0;101
2020-07-02 02:50;0;101
2020-07-02 03:00;0;101
2020-07-02 03:10;0;101
2020-07-02 03:20;0;101
2020-07-02 03:30;0;101
2020-07-02 03:40;0;101
2020-07-02 03:50;0;101
2020-07-02 04:00;0;101
2020-07-02 04:10;0;101
2020-07-02 04:20;0;101
2020-07-02 04:30;0;101
2020-07-02 04:40;0;101
2020-07-02 04:50;0;101
2020-07-02 05:00;0;101
2020-07-02 05:10;0;101
2020-07-02 05:20;0;101
2020-07-02 05:30;0;101
2020-07-02 05:40;0;101
2020-07-02 05:50;0;101
2020-07-02 06:00;0;101
2020-07-02 06:10;0;101
2020-07-02 06:20;0;101
2020-07-02 06:30;0;101
2020-07-02 06:40;0;101
2020-07-02 06:50;0;101
2020-07-02 07:00;0;101
2020-07-02 07:10;0;101
2020-07-02 07:20;0;101
2020-07-02 07:30;0;101
2020-07-02 07:40;1;101
2020-07-02 07:50;1;101
2020-07-02 08:00;5;101
2020-07-02 08:10;15;101
2020-07-02 08:20;22;101
2020-07-02 08:30;30;101
2020-07-02 08:40;31;101
2020-07-02 08:50;43;101
2020-07-02 09:00;45;101
2020-07-02 09:10;46;101
2020-07-02 09:20;42;101
2020-07-02 09:30;40;101
2020-07-02 09:40;39;101
2020-07-02 09:50;44;101
2020-07-02 10:00;52;101
2020-07-02 10:10;56;101
2020-07-02 10:20;58;101
2020-07-02 10:30;56;101
2020-07-02 10:40;65;101
2020-07-02 10:50;65;101
2020-07-02 11:00;58;101
2020-07-02 11:10;53;101
2020-07-02 11:20;52;101
2020-07-02 11:30;46;101
2020-07-02 11:40;40;101
2020-07-02 11:50;37;101
2020-07-02 12:00;35;101
2020-07-02 12:10;36;101
2020-07-02 12:20;41;101
2020-07-02 12:30;41;101
2020-07-02 12:40;42;101
2020-07-02 12:50;44;101
2020-07-02 13:00;43;101
2020-07-02 13:10;42;101
2020-07-02 13:20;40;101
2020-07-02 13:30;38;101
2020-07-02 13:40;36;101
2020-07-02 13:50;33;101
2020-07-02 14:00;31;101
2020-07-02 14:10;28;101
2020-07-02 14:20;26;101
2020-07-02 14:30;27;101
2020-07-02 14:40;28;101
2020-07-02 14:50;21;101
2020-07-02 15:00;24;101
2020-07-02 15:10;25;101
2020-07-02 15:20;26;101
2020-07-02 15:30;28;101
2020-07-02 15:40;33;101
2020-07-02 15:50;43;101
2020-07-02 16:00;43;101
2020-07-02 16:10;44;101
2020-07-02 16:20;50;101
2020-07-02 16:30;49;101
2020-07-02 16:40;50;101
2020-07-02 16:50;52;101
2020-07-02 17:00;55;101
2020-07-02 17:10;53;101
2020-07-02 17:20;60;101
2020-07-02 17:30;65;101
2020-07-02 17:40;69;101
2020-07-02 17:50;72;101
2020-07-02 18:00;77;101
2020-07-02 18:10;78;101
2020-07-02 18:20;83;101
2020-07-02 18:30;79;101
2020-07-02 18:40;75;101
2020-07-02 18:50;67;101
2020-07-02 19:00;62;101
2020-07-02 19:10;59;101
2020-07-02 19:20;60;101
2020-07-02 19:30;57;101
2020-07-02 19:40;51;101
2020-07-02 19:50;51;101
2020-07-02 20:00;56;101
2020-07-02 20:10;57;101
2020-07-02 20:20;63;101
2020-07-02 20:30;64;101
2020-07-02 20:40;66;101
2020-07-02 20:50;67;101
2020-07-02 21:00;68;101
2020-07-02 21:10;64;101
2020-07-02 21:20;58;101
2020-07-02 21:30;53;101
2020-07-02 21:40;46;101
2020-07-02 21:50;41;101
2020-07-02 22:00;38;101
2020-07-02 22:10;29;101
2020-07-02 22:20;18;101
2020-07-02 22:30;5;101
2020-07-02 22:40;4;101
2020-07-02 22:50;4;101
2020-07-02 23:00;4;101
2020-07-02 23:10;4;101
2020-07-02 23:20;4;101
2020-07-02 23:30;4;101
2020-07-02 23:40;4;101
2020-07-02 23:50;4;101
