date;visitors;capacity
2020-08-29 00:00;19;149
2020-08-29 00:10;19;149
2020-08-29 00:20;19;149
2020-08-29 00:30;17;149
2020-08-29 00:40;15;149
2020-08-29 00:50;16;149
2020-08-29 01:00;13;149
2020-08-29 01:10;12;149
2020-08-29 01:20;9;149
2020-08-29 01:30;9;149
2020-08-29 01:40;9;149
2020-08-29 01:50;8;149
2020-08-29 02:00;7;149
2020-08-29 02:10;6;149
2020-08-29 02:20;5;149
2020-08-29 02:30;4;149
2020-08-29 02:40;4;149
2020-08-29 02:50;5;149
2020-08-29 03:00;5;149
2020-08-29 03:10;5;149
2020-08-29 03:20;5;149
2020-08-29 03:30;5;149
2020-08-29 03:40;5;149
2020-08-29 03:50;5;149
2020-08-29 04:00;5;149
2020-08-29 04:10;5;149
2020-08-29 04:20;5;149
2020-08-29 04:30;5;149
2020-08-29 04:40;5;149
2020-08-29 04:50;5;149
2020-08-29 05:00;4;149
2020-08-29 05:10;4;149
2020-08-29 05:20;4;149
2020-08-29 05:30;5;149
2020-08-29 05:40;5;149
2020-08-29 05:50;5;149
2020-08-29 06:00;5;149
2020-08-29 06:10;6;149
2020-08-29 06:20;9;149
2020-08-29 06:30;11;149
2020-08-29 06:40;12;149
2020-08-29 06:50;12;149
2020-08-29 07:00;16;149
2020-08-29 07:10;17;149
2020-08-29 07:20;19;149
2020-08-29 07:30;22;149
2020-08-29 07:40;23;149
2020-08-29 07:50;24;149
2020-08-29 08:00;23;149
2020-08-29 08:10;26;149
2020-08-29 08:20;25;149
2020-08-29 08:30;23;149
2020-08-29 08:40;29;149
2020-08-29 08:50;29;149
2020-08-29 09:00;27;149
2020-08-29 09:10;30;149
2020-08-29 09:20;36;149
2020-08-29 09:30;35;149
2020-08-29 09:40;44;149
2020-08-29 09:50;54;149
2020-08-29 10:00;64;149
2020-08-29 10:10;75;149
2020-08-29 10:20;77;149
2020-08-29 10:30;78;149
2020-08-29 10:40;81;149
2020-08-29 10:50;81;149
2020-08-29 11:00;82;149
2020-08-29 11:10;73;149
2020-08-29 11:20;80;149
2020-08-29 11:30;75;149
2020-08-29 11:40;74;149
2020-08-29 11:50;70;149
2020-08-29 12:00;66;149
2020-08-29 12:10;61;149
2020-08-29 12:20;64;149
2020-08-29 12:30;66;149
2020-08-29 12:40;57;149
2020-08-29 12:50;56;149
2020-08-29 13:00;56;149
2020-08-29 13:10;56;149
2020-08-29 13:20;54;149
2020-08-29 13:30;52;149
2020-08-29 13:40;55;149
2020-08-29 13:50;57;149
2020-08-29 14:00;56;149
2020-08-29 14:10;57;149
2020-08-29 14:20;53;149
2020-08-29 14:30;51;149
2020-08-29 14:40;49;149
2020-08-29 14:50;43;149
2020-08-29 15:00;39;149
2020-08-29 15:10;39;149
2020-08-29 15:20;40;149
2020-08-29 15:30;42;149
2020-08-29 15:40;39;149
2020-08-29 15:50;41;149
2020-08-29 16:00;42;149
2020-08-29 16:10;42;149
2020-08-29 16:20;42;149
2020-08-29 16:30;48;149
2020-08-29 16:40;48;149
2020-08-29 16:50;51;149
2020-08-29 17:00;48;149
2020-08-29 17:10;47;149
2020-08-29 17:20;51;149
2020-08-29 17:30;52;149
2020-08-29 17:40;52;149
2020-08-29 17:50;59;149
2020-08-29 18:00;60;149
2020-08-29 18:10;61;149
2020-08-29 18:20;63;149
2020-08-29 18:30;64;149
2020-08-29 18:40;65;149
2020-08-29 18:50;59;149
2020-08-29 19:00;56;149
2020-08-29 19:10;58;149
2020-08-29 19:20;58;149
2020-08-29 19:30;52;149
2020-08-29 19:40;57;149
2020-08-29 19:50;50;149
2020-08-29 20:00;43;149
2020-08-29 20:10;41;149
2020-08-29 20:20;42;149
2020-08-29 20:30;43;149
2020-08-29 20:40;38;149
2020-08-29 20:50;37;149
2020-08-29 21:00;36;149
2020-08-29 21:10;35;149
2020-08-29 21:20;32;149
2020-08-29 21:30;32;149
2020-08-29 21:40;30;149
2020-08-29 21:50;24;149
2020-08-29 22:00;26;149
2020-08-29 22:10;24;149
2020-08-29 22:20;23;149
2020-08-29 22:30;22;149
2020-08-29 22:40;21;149
2020-08-29 22:50;17;149
2020-08-29 23:00;14;149
2020-08-29 23:10;15;149
2020-08-29 23:20;17;149
2020-08-29 23:30;17;149
2020-08-29 23:40;16;149
2020-08-29 23:50;10;149
