date;visitors;capacity
2020-08-12 00:00;0;150
2020-08-12 00:10;0;150
2020-08-12 00:20;0;150
2020-08-12 00:30;0;150
2020-08-12 00:40;0;150
2020-08-12 00:50;0;150
2020-08-12 01:00;0;150
2020-08-12 01:10;0;150
2020-08-12 01:20;0;150
2020-08-12 01:30;0;150
2020-08-12 01:40;0;150
2020-08-12 01:50;0;150
2020-08-12 02:00;0;150
2020-08-12 02:10;0;150
2020-08-12 02:20;0;150
2020-08-12 02:30;0;150
2020-08-12 02:40;0;150
2020-08-12 02:50;0;150
2020-08-12 03:00;0;150
2020-08-12 03:10;0;150
2020-08-12 03:20;0;150
2020-08-12 03:30;0;150
2020-08-12 03:40;0;150
2020-08-12 03:50;0;150
2020-08-12 04:00;0;150
2020-08-12 04:10;0;150
2020-08-12 04:20;0;150
2020-08-12 04:30;0;150
2020-08-12 04:40;0;150
2020-08-12 04:50;0;150
2020-08-12 05:00;0;150
2020-08-12 05:10;0;150
2020-08-12 05:20;0;150
2020-08-12 05:30;0;150
2020-08-12 05:40;0;150
2020-08-12 05:50;0;150
2020-08-12 06:00;0;150
2020-08-12 06:10;0;150
2020-08-12 06:20;0;150
2020-08-12 06:30;0;150
2020-08-12 06:40;0;150
2020-08-12 06:50;0;150
2020-08-12 07:00;0;150
2020-08-12 07:10;11;150
2020-08-12 07:20;14;150
2020-08-12 07:30;16;150
2020-08-12 07:40;19;150
2020-08-12 07:50;22;150
2020-08-12 08:00;23;150
2020-08-12 08:10;24;150
2020-08-12 08:20;21;150
2020-08-12 08:30;25;150
2020-08-12 08:40;31;150
2020-08-12 08:50;28;150
2020-08-12 09:00;33;150
2020-08-12 09:10;30;150
2020-08-12 09:20;29;150
2020-08-12 09:30;26;150
2020-08-12 09:40;32;150
2020-08-12 09:50;36;150
2020-08-12 10:00;36;150
2020-08-12 10:10;39;150
2020-08-12 10:20;42;150
2020-08-12 10:30;46;150
2020-08-12 10:40;45;150
2020-08-12 10:50;50;150
2020-08-12 11:00;47;150
2020-08-12 11:10;56;150
2020-08-12 11:20;49;150
2020-08-12 11:30;55;150
2020-08-12 11:40;49;150
2020-08-12 11:50;46;150
2020-08-12 12:00;41;150
2020-08-12 12:10;39;150
2020-08-12 12:20;36;150
2020-08-12 12:30;38;150
2020-08-12 12:40;36;150
2020-08-12 12:50;32;150
2020-08-12 13:00;28;150
2020-08-12 13:10;31;150
2020-08-12 13:20;31;150
2020-08-12 13:30;30;150
2020-08-12 13:40;32;150
2020-08-12 13:50;32;150
2020-08-12 14:00;30;150
2020-08-12 14:10;37;150
2020-08-12 14:20;31;150
2020-08-12 14:30;29;150
2020-08-12 14:40;26;150
2020-08-12 14:50;25;150
2020-08-12 15:00;26;150
2020-08-12 15:10;28;150
2020-08-12 15:20;31;150
2020-08-12 15:30;33;150
2020-08-12 15:40;34;150
2020-08-12 15:50;36;150
2020-08-12 16:00;37;150
2020-08-12 16:10;45;150
2020-08-12 16:20;48;150
2020-08-12 16:30;52;150
2020-08-12 16:40;50;150
2020-08-12 16:50;52;150
2020-08-12 17:00;48;150
2020-08-12 17:10;48;150
2020-08-12 17:20;53;150
2020-08-12 17:30;56;150
2020-08-12 17:40;62;150
2020-08-12 17:50;68;150
2020-08-12 18:00;83;150
2020-08-12 18:10;82;150
2020-08-12 18:20;93;150
2020-08-12 18:30;103;150
2020-08-12 18:40;110;150
2020-08-12 18:50;115;150
2020-08-12 19:00;109;150
2020-08-12 19:10;102;150
2020-08-12 19:20;93;150
2020-08-12 19:30;87;150
2020-08-12 19:40;85;150
2020-08-12 19:50;82;150
2020-08-12 20:00;81;150
2020-08-12 20:10;74;150
2020-08-12 20:20;69;150
2020-08-12 20:30;66;150
2020-08-12 20:40;72;150
2020-08-12 20:50;75;150
2020-08-12 21:00;69;150
2020-08-12 21:10;65;150
2020-08-12 21:20;68;150
2020-08-12 21:30;61;150
2020-08-12 21:40;60;150
2020-08-12 21:50;54;150
2020-08-12 22:00;45;150
2020-08-12 22:10;39;150
2020-08-12 22:20;35;150
2020-08-12 22:30;30;150
2020-08-12 22:40;24;150
2020-08-12 22:50;0;150
2020-08-12 23:00;0;150
2020-08-12 23:10;0;150
2020-08-12 23:20;0;150
2020-08-12 23:30;0;150
2020-08-12 23:40;0;150
2020-08-12 23:50;0;150
